Gene	Product
pdeR	cyclic di-GMP phosphodiesterase PdeR
pdhR	DNA-binding transcriptional dual regulator PdhR
pdxA	4-hydroxythreonine-4-phosphate dehydrogenase
pdxB	erythronate-4-phosphate dehydrogenase
pdxH	pyridoxine/pyridoxamine 5'-phosphate oxidase
pdxI	pyridoxal reductase
pdxJ	pyridoxine 5'-phosphate synthase
pdxK	pyridoxine/pyridoxal/pyridoxamine kinase
pdxY	pyridoxal kinase 2
pepA	aminopeptidase A/I
pepB	aminopeptidase B
pepD	peptidase D
pepE	peptidase E
pepN	aminopeptidase N
pepP	Xaa-Pro aminopeptidase
pepQ	Xaa-Pro dipeptidase
pepT	peptidase T
perR	putative transcriptional regulator PerR
pfkA	6-phosphofructokinase 1
pfkB	6-phosphofructokinase 2
pflA	pyruvate formate-lyase activating enzyme
pflB	pyruvate formate-lyase
pflC	putative pyruvate formate-lyase 2 activating
pflD	putative formate acetyltransferase 2
pgaA	partially deacetylated
pgaB	poly-beta-1,6-N-acetyl-D-glucosamine
pgaC	poly-N-acetyl-D-glucosamine synthase subunit
pgaD	poly-N-acetyl-D-glucosamine synthase subunit
pgi	glucose-6-phosphate isomerase
pgk	phosphoglycerate kinase
pgl	6-phosphogluconolactonase
pgm	phosphoglucomutase
pgpA	phosphatidylglycerophosphatase A
pgpB	phosphatidylglycerophosphatase B
pgpC	phosphatidylglycerophosphatase C
pgrR	DNA-binding transcriptional repressor PgrR
pgsA	CDP-diacylglycerol--glycerol-3-phosphate
pheA	fused chorismate mutase/prephenate dehydratase
pheL	phe operon leader peptide
pheM	pheST-ihfA operon leader peptide
pheP	phenylalanine:H(+) symporter PheP
pheS	phenylalanine--tRNA ligase
pheT	phenylalanine--tRNA ligase subunit beta
pheU	tRNA-Phe
pheV	tRNA-Phe
phnC	phosphonate/phosphate ABC transporter ATP
phnD	phosphonate/phosphate ABC transporter
phnE1	phosphonate/phosphate ABC transporter membrane
phnF	putative transcriptional regulator PhnF
phnG	carbon-phosphorus lyase core complex subunit
phnH	carbon-phosphorus lyase core complex subunit
phnI	carbon-phosphorus lyase core complex subunit
phnJ	carbon-phosphorus lyase core complex subunit
phnK	carbon-phosphorus lyase ATP-binding protein
phnL	carbon-phosphorus lyase ATP-binding protein
phnM	RPnTP hydrolase
phnN	ribose 1,5-bisphosphate phosphokinase
phnO	aminoalkylphosphonate N-acetyltransferase
phnP	5-phospho-alpha-D-ribosyl 1,2-cyclic phosphate
phoA	alkaline phosphatase
phoB	DNA-binding transcriptional dual regulator PhoB
phoE	outer membrane porin PhoE
phoH	ATP-binding protein PhoH
phoP	DNA-binding transcriptional dual regulator PhoP
phoQ	sensor histidine kinase PhoQ
phoR	sensor histidine kinase PhoR
phoU	negative regulator of the pho regulon
php	putative hydrolase
phr	deoxyribodipyrimidine photolyase
pinE	site-specific DNA recombinase
pinQ	putative recombinase PinQ
pinR	putative site-specific recombinase
pitA	metal phosphate:H(+) symporter PitA
pitB	metal phosphate:H(+) symporter PitB
plaP	putrescine:H(+) symporter PlaP
plaR	DNA-binding transcriptional repressor PlaR
pldA	outer membrane phospholipase A
pldB	lysophospholipase L2
pliG	inhibitor of g-type lysozyme
plsB	glycerol-3-phosphate 1-O-acyltransferase
plsC	1-acylglycerol-3-phosphate O-acyltransferase
plsX	putative phosphate acyltransferase
plsY	putative glycerol-3-phosphate acyltransferase
pmrD	signal transduction protein PmrD
pmrR	small regulatory membrane protein PmrR
pncA	nicotinamidase
pncB	nicotinate phosphoribosyltransferase
pncC	NMN aminohydrolase
pnp	polynucleotide phosphorylase
pntA	pyridine nucleotide transhydrogenase subunit
pntB	pyridine nucleotide transhydrogenase subunit
pnuC	nicotinamide riboside transporter
polA	DNA polymerase I
polB	DNA polymerase II
potA	spermidine preferential ABC transporter ATP
potB	spermidine preferential ABC transporter membrane
potC	spermidine preferential ABC transporter membrane
potD	spermidine preferential ABC transporter
potE	putrescine transporter PotE
potF	putrescine ABC transporter periplasmic binding
potG	putrescine ABC transporter ATP binding subunit
potH	putrescine ABC transporter membrane subunit
potI	putrescine ABC transporter membrane subunit
poxB	pyruvate oxidase
ppa	inorganic pyrophosphatase
ppc	phosphoenolpyruvate carboxylase
ppdA	prepilin-type N-terminal cleavage/methylation
ppdB	prepilin-type N-terminal cleavage/methylation
ppdC	prepilin-type N-terminal cleavage/methylation
ppdD	prepilin-type N-terminal cleavage/methylation
pphA	phosphoprotein phosphatase 1
pphB	phosphoprotein phosphatase 2
pphC	protein-serine/threonine phosphatase PphC
ppiA	peptidyl-prolyl cis-trans isomerase A
ppiB	peptidyl-prolyl cis-trans isomerase B
ppiC	peptidyl-prolyl cis-trans isomerase C
ppiD	periplasmic folding chaperone
ppk	polyphosphate kinase
ppnN	nucleotide 5'-monophosphate nucleosidase
ppnP	nucleoside phosphorylase PpnP
pppA	prepilin peptidase
ppsA	phosphoenolpyruvate synthetase
ppsR	phosphoenolpyruvate synthetase regulatory
pptA	tautomerase PptA
ppx	exopolyphosphatase
pqiA	intermembrane transport protein PqiA
pqiB	intermembrane transport protein PqiB
pqiC	intermembrane transport lipoprotein PqiC
pqqL	periplasmic metalloprotease
pqqU	pyrroloquinoline quinone outer membrane
prc	tail-specific protease
preA	dihydropyrimidine dehydrogenase (NAD(+)) subunit
preT	dihydropyrimidine dehydrogenase (NAD(+)) subunit
prfA	peptide chain release factor RF1
prfB	peptide chain release factor RF2
prfC	peptide chain release factor RF3
priA	primosomal protein N'
priB	primosomal replication protein N
priC	primosomal replication protein N''
prkB	putative phosphoribulokinase
prlC	oligopeptidase A
prlF	antitoxin PrlF
prmA	ribosomal protein L11 methyltransferase
prmB	ribosomal protein L3 N(5)-glutamine
prmC	protein-(glutamine-N(5)) methyltransferase
proA	glutamate-5-semialdehyde dehydrogenase
proB	glutamate 5-kinase
proC	pyrroline-5-carboxylate reductase
proK	tRNA-Pro
proL	tRNA-Pro
proM	tRNA-Pro
proP	osmolyte:H(+) symporter ProP
proQ	RNA chaperone ProQ
proS	proline--tRNA ligase
proV	glycine betaine ABC transporter ATP binding
proW	glycine betaine ABC transporter membrane subunit
proX	glycine betaine ABC transporter periplasmic
proY	putative transporter ProY
prpB	2-methylisocitrate lyase
prpC	2-methylcitrate synthase
prpD	2-methylcitrate dehydratase
prpE	propionyl-CoA synthetase
prpR	DNA-binding transcriptional dual regulator PrpR
prs	ribose-phosphate diphosphokinase
psd	phosphatidylserine decarboxylase proenzyme
psiE	putative phosphate starvation-inducible protein
psiF	phosphate starvation-inducible protein PsiF
pspA	phage shock protein A
pspB	phage shock protein B
pspC	phage shock protein C
pspD	phage shock protein D
pspE	thiosulfate sulfurtransferase PspE
pspF	DNA-binding transcriptional dual regulator PspF
pspG	phage shock protein G
pspH	small regulatory RNA PspH
pssA	phosphatidylserine synthase
pssL	protein PssL
pstA	phosphate ABC transporter membrane subunit PstA
pstB	phosphate ABC transporter ATP binding subunit
pstC	phosphate ABC transporter membrane subunit PstC
pstS	phosphate ABC transporter periplasmic binding
psuG	pseudouridine-5'-phosphate glycosidase
psuK	putative pseudouridine kinase
psuT	putative pseudouridine transporter
pta	phosphate acetyltransferase
pth	peptidyl-tRNA hydrolase
ptrA	protease 3
ptrB	oligopeptidase B
ptrR	putrescine utilization regulator PtrR
ptsA	putative PTS multiphosphoryl transfer protein
ptsG	glucose-specific PTS enzyme IIBC component
ptsH	phosphocarrier protein HPr
ptsI	PTS enzyme I
ptsN	phosphotransferase system enzyme IIA(Ntr)
ptsP	phosphoenolpyruvate-protein phosphotransferase
punC	purine nucleoside transporter PunC
punR	DNA-binding transcriptional activator PunR
purA	adenylosuccinate synthetase
purB	adenylosuccinate lyase
purC	phosphoribosylaminoimidazole-succinocarboxamide
purD	phosphoribosylamine--glycine ligase
purE	N(5)-carboxyaminoimidazole ribonucleotide
purF	amidophosphoribosyltransferase
purH	bifunctional AICAR transformylase/IMP
purK	5-(carboxyamino)imidazole ribonucleotide
purL	phosphoribosylformylglycinamide synthetase
purM	phosphoribosylformylglycinamide cyclo-ligase
purN	phosphoribosylglycinamide formyltransferase 1
purR	DNA-binding transcriptional repressor PurR
purT	phosphoribosylglycinamide formyltransferase 2
purU	formyltetrahydrofolate deformylase
putA	fused DNA-binding transcriptional
putP	proline:Na(+) symporter
puuA	glutamate-putrescine ligase
puuB	gamma-glutamylputrescine oxidase
puuC	gamma-glutamyl-gamma-aminobutyraldehyde
puuD	gamma-glutamyl-gamma-aminobutyrate hydrolase
puuE	4-aminobutyrate aminotransferase PuuE
puuP	putrescine:H(+) symporter PuuP
puuR	DNA-binding transcriptional repressor PuuR
pxpA	5-oxoprolinase component A
pxpB	5-oxoprolinase component B
pxpC	5-oxoprolinase component C
pykA	pyruvate kinase 2
pykF	pyruvate kinase 1
pyrB	aspartate carbamoyltransferase catalytic
pyrC	dihydroorotase
pyrD	dihydroorotate dehydrogenase, type 2
pyrE	orotate phosphoribosyltransferase
pyrF	orotidine-5'-phosphate decarboxylase
pyrG	CTP synthetase
pyrH	UMP kinase
pyrI	aspartate carbamoyltransferase, PyrI subunit
pyrL	pyrBI operon leader peptide
pyrR	DNA-binding transcriptional activator PyrR
pyrS	sensor histidine kinase PyrS
qmcA	PHB domain-containing protein QmcA
qorA	putative quinone oxidoreductase 1
qorB	NAD(P)H:quinone oxidoreductase
qseB	DNA-binding transcriptional activator QseB
qseC	sensor histidine kinase QseC
qseG	outer membrane lipoprotein QseG
queA	tRNA preQ1(34) S-adenosylmethionine
queC	7-cyano-7-deazaguanine synthase
queD	6-carboxy-5,6,7,8-tetrahydropterin synthase
queE	putative 7-carboxy-7-deazaguanine synthase QueE
queF	7-cyano-7-deazaguanine reductase
queG	epoxyqueuosine reductase
quuD	prophage antitermination protein Q homolog QuuD
racC	protein RacC
racR	DNA-binding transcriptional regulator RacR
radA	DNA recombination protein
radD	DNA repair helicase RadD
raiA	ribosome-associated inhibitor A
raiZ	small RNA RaiZ
ralA	small regulatory RNA antitoxin RalA
ralR	endodeoxyribonuclease toxin RalR
rapA	RNA polymerase-binding ATPase and RNAP recycling
rapZ	RNase adaptor protein RapZ
rarA	replication-associated recombination protein A
rarD	putative transporter RarD
ratA	ribosome association toxin RatA
ravA	regulatory ATPase RavA
rayT	REP-associated tyrosine transposase
rbbA	ribosome-associated ATPase
rbfA	30S ribosome binding factor
rbn	ribonuclease BN
rbsA	ribose ABC transporter ATP binding subunit
rbsB	ribose ABC transporter periplasmic binding
rbsC	ribose ABC transporter membrane subunit
rbsD	D-ribose pyranase
rbsK	ribokinase
rbsR	DNA-binding transcriptional dual regulator RbsR
rbsZ	small regulatory RNA RbsZ
rcbA	double-strand break reduction protein
rcdA	DNA binding transcriptional dual regulator RcdA
rcdB	putative DNA-binding transcriptional regulator
rclA	cupric reductase RclA
rclB	hypochlorite stress response protein RclB
rclC	DUF417 domain-containing inner membrane protein
rclR	DNA-binding transcriptional activator RclR
rcnA	Ni(2(+))/Co(2(+)) exporter
rcnB	periplasmic protein involved in Ni/Co export
rcnR	DNA-binding transcriptional repressor RcnR
rcsA	DNA-binding transcriptional activator RcsA
rcsB	DNA-binding transcriptional activator RcsB
rcsC	histidine kinase RcsC
rcsD	RcsD phosphotransferase
rcsF	sensor lipoprotein RcsF
rdcA	regulator of diguanylate cyclase RdcA
rdcB	regulator of diguanylate cyclase RdcB
rdgB	dITP/XTP pyrophosphatase
rdgC	nucleoid-associated protein RdgC
rdlA	putative antisense regulatory RNA RdlA
rdlB	putative antisense regulatory RNA RdlB
rdlC	putative antisense regulatory RNA RdlC
rdlD	antisense regulatory RNA RdlD
recA	DNA recombination/repair protein RecA
recB	exodeoxyribonuclease V subunit RecB
recC	exodeoxyribonuclease V subunit RecC
recD	exodeoxyribonuclease V subunit RecD
recE	exonuclease VIII, ds DNA exonuclease, 5' --> 3'
recF	recombination mediator protein RecF
recG	ATP-dependent DNA helicase RecG
recJ	ssDNA-specific exonuclease RecJ
recN	DNA repair protein RecN
recO	recombination mediator protein RecO
recQ	ATP-dependent DNA helicase RecQ
recR	recombination mediator protein RecR
recT	recombinase RecT
recX	RecA inhibitor RecX
relA	GDP/GTP pyrophosphokinase
relB	antitoxin/DNA-binding transcriptional repressor
relE	mRNA interferase toxin RelE
rem	protein Rem
renD	DLP12 prophage; protein RenD
rep	ATP-dependent DNA helicase Rep
rfaD	ADP-L-glycero-D-mannoheptose 6-epimerase
rfaH	transcription antiterminator RfaH
rfbA	glucose-1-phosphate thymidylyltransferase 1
rfbB	dTDP-glucose 4,6-dehydratase 1
rfbC	dTDP-4-dehydrorhamnose 3,5-epimerase
rfbD	dTDP-4-dehydrorhamnose reductase
rfbX	polyisoprenol-linked O16-antigen repeat unit
rffC	dTDP-4-amino-4,6-dideoxy-D-galactose
rffG	dTDP-glucose 4,6-dehydratase 2
rffH	glucose-1-phosphate thymidylyltransferase 2
rffM	UDP-N-acetyl-D-mannosaminuronic acid
rflP	anti-FlhDC factor RflP
rhaA	L-rhamnose isomerase
rhaB	rhamnulokinase
rhaD	rhamnulose-1-phosphate aldolase
rhaM	L-rhamnose mutarotase
rhaR	DNA-binding transcriptional activator RhaR
rhaS	DNA-binding transcriptional activator RhaS
rhaT	rhamnose/lyxose:H(+) symporter
rhlB	ATP-dependent RNA helicase RhlB
rhlE	ATP-dependent RNA helicase RhlE
rhmD	L-rhamnonate dehydratase
rho	transcription termination factor Rho
rhoL	rho operon leader peptide
rhsA	rhs element protein RhsA
rhsB	rhs element protein RhsB
rhsC	rhs element protein RhsC
rhsD	protein RhsD
rhtA	L-threonine/L-homoserine exporter
rhtB	L-homoserine/L-homoserine lactone/L-threonine
rhtC	L-threonine exporter
ribA	GTP cyclohydrolase 2
ribB	3,4-dihydroxy-2-butanone-4-phosphate synthase
ribC	riboflavin synthase
ribD	fused
ribE	6,7-dimethyl-8-ribityllumazine synthase
ribF	bifunctional riboflavin kinase/FMN
ridA	enamine/imine deaminase, redox-regulated
rihA	pyrimidine-specific ribonucleoside hydrolase
rihB	pyrimidine-specific ribonucleoside hydrolase
rihC	ribonucleoside hydrolase RihC
rimI	protein N-acetyltransferase RimI
rimJ	ribosomal-protein-S5-alanine
rimK	ribosomal protein S6 modification protein
rimL	ribosomal-protein-L12-serine
rimM	ribosome maturation factor RimM
rimO	ribosomal protein S12 methylthiotransferase
rimP	ribosome maturation factor RimP
rirA	small regulatory RNA RirA
rlhA	23S rRNA 5-hydroxycytidine C2501 synthase
rlmA	23S rRNA m(1)G745 methyltransferase
rlmB	23S rRNA 2'-O-ribose G2251 methyltransferase
rlmC	23S rRNA m(5)U747 methyltransferase
rlmD	23S rRNA m(5)U1939 methyltransferase
rlmE	23S rRNA 2'-O-ribose U2552 methyltransferase
rlmF	23S rRNA m(6)A1618 methyltransferase
rlmG	23S rRNA m(2)G1835 methyltransferase
rlmH	23S rRNA m(3)psi1915 methyltransferase
rlmI	23S rRNA m(5)C1962 methyltransferase
rlmJ	23S rRNA m(6)A2030 methyltransferase
rlmL	fused 23S rRNA m(2)G2445 methyltransferase and
rlmM	23S rRNA 2'-O-ribose C2498 methyltransferase
rlmN	23S rRNA m(2)A2503 methyltransferase/tRNA
rlpA	rare lipoprotein RlpA
rluA	23S rRNA pseudouridine(746) and tRNA
rluB	23S rRNA pseudouridine(2605) synthase
rluC	23S rRNA pseudouridine(955/2504/2580) synthase
rluD	23S rRNA pseudouridine(1911/1915/1917) synthase
rluE	23S rRNA pseudouridine(2457) synthase
rluF	23S rRNA pseudouridine(2604) and tRNA(Tyr)
rmf	ribosome modulation factor
rmuC	putative recombination limiting protein RmuC
rna	RNase I
rnb	RNase II
rnc	RNase III
rnd	RNase D
rne	ribonuclease E
rng	RNase G
rnhA	ribonuclease HI
rnhB	RNase HII
rnk	nucleoside diphosphate kinase regulator
rnlA	RNase LS, toxin of the RnlAB toxin-antitoxin
rnlB	antitoxin RnlB
rnm	RNase AM
rnpA	RNase P protein component
rnpB	RNase P catalytic RNA component
rnr	RNase R
rnt	ribonuclease T
rob	DNA-binding transcriptional dual regulator Rob
rodZ	cytoskeleton protein RodZ
rof	modulator of Rho-dependent transcription
roxA	50S ribosomal protein L16-arginine
rpe	ribulose-phosphate 3-epimerase
rph	truncated RNase PH
rpiA	ribose-5-phosphate isomerase A
rpiB	allose-6-phosphate isomerase/ribose-5-phosphate
rplA	50S ribosomal subunit protein L1
rplB	50S ribosomal subunit protein L2
rplC	50S ribosomal subunit protein L3
rplD	50S ribosomal subunit protein L4
rplE	50S ribosomal subunit protein L5
rplF	50S ribosomal subunit protein L6
rplI	50S ribosomal subunit protein L9
rplJ	50S ribosomal subunit protein L10
rplK	50S ribosomal subunit protein L11
rplL	50S ribosomal subunit protein L12
rplM	50S ribosomal subunit protein L13
rplN	50S ribosomal subunit protein L14
rplO	50S ribosomal subunit protein L15
rplP	50S ribosomal subunit protein L16
rplQ	50S ribosomal subunit protein L17
rplR	50S ribosomal subunit protein L18
rplS	50S ribosomal subunit protein L19
rplT	50S ribosomal subunit protein L20
rplU	50S ribosomal subunit protein L21
rplV	50S ribosomal subunit protein L22
rplW	50S ribosomal subunit protein L23
rplX	50S ribosomal subunit protein L24
rplY	50S ribosomal subunit protein L25
rpmA	50S ribosomal subunit protein L27
rpmB	50S ribosomal subunit protein L28
rpmC	50S ribosomal subunit protein L29
rpmD	50S ribosomal subunit protein L30
rpmE	50S ribosomal subunit protein L31
rpmF	50S ribosomal subunit protein L32
rpmG	50S ribosomal subunit protein L33
rpmH	50S ribosomal subunit protein L34
rpmI	50S ribosomal subunit protein L35
rpmJ	50S ribosomal subunit protein L36
rpnA	recombination-promoting nuclease RpnA
rpnB	recombination-promoting nuclease RpnB
rpnC	recombination-promoting nuclease RpnC
rpnE	inactive recombination-promoting nuclease-like
rpoA	RNA polymerase subunit alpha
rpoB	RNA polymerase subunit beta
rpoC	RNA polymerase subunit beta'
rpoD	RNA polymerase sigma factor RpoD
rpoE	RNA polymerase sigma factor RpoE
rpoH	RNA polymerase sigma factor RpoH
rpoN	RNA polymerase sigma factor RpoN
rpoS	RNA polymerase sigma factor RpoS
rpoZ	RNA polymerase subunit omega
rppH	RNA pyrophosphohydrolase
rprA	small regulatory RNA RprA
rpsA	30S ribosomal subunit protein S1
rpsB	30S ribosomal subunit protein S2
rpsC	30S ribosomal subunit protein S3
rpsD	30S ribosomal subunit protein S4
rpsE	30S ribosomal subunit protein S5
rpsF	30S ribosomal subunit protein S6
rpsG	30S ribosomal subunit protein S7
rpsH	30S ribosomal subunit protein S8
rpsI	30S ribosomal subunit protein S9
rpsJ	30S ribosomal subunit protein S10
rpsK	30S ribosomal subunit protein S11
rpsL	30S ribosomal subunit protein S12
rpsM	30S ribosomal subunit protein S13
rpsN	30S ribosomal subunit protein S14
rpsO	30S ribosomal subunit protein S15
rpsP	30S ribosomal subunit protein S16
rpsQ	30S ribosomal subunit protein S17
rpsR	30S ribosomal subunit protein S18
rpsS	30S ribosomal subunit protein S19
rpsT	30S ribosomal subunit protein S20
rpsU	30S ribosomal subunit protein S21
rraA	ribonuclease E inhibitor protein A
rraB	ribonuclease E inhibitor protein B
rrfA	5S ribosomal RNA
rrfB	5S ribosomal RNA
rrfC	5S ribosomal RNA
rrfD	5S ribosomal RNA
rrfE	5S ribosomal RNA
rrfF	5S ribosomal RNA
rrfG	5S ribosomal RNA
rrfH	5S ribosomal RNA
rrlA	23S ribosomal RNA
rrlB	23S ribosomal RNA
rrlC	23S ribosomal RNA
rrlD	23S ribosomal RNA
rrlE	23S ribosomal RNA
rrlG	23S ribosomal RNA
rrlH	23S ribosomal RNA
rrrD	lysozyme
rrrQ	putative lysozyme
rrsA	16S ribosomal RNA
rrsB	16S ribosomal RNA
rrsC	16S ribosomal RNA
rrsD	16S ribosomal RNA
rrsE	16S ribosomal RNA
rrsG	16S ribosomal RNA
rrsH	16S ribosomal RNA
rsd	regulator of sigma D
rseA	anti-sigma-E factor RseA
rseB	anti-sigma factor stabilizing protein RseB
rseC	regulatory protein RseC
rseD	rpoE leader peptide
rseP	intramembrane zinc metalloprotease RseP
rseX	small regulatory RNA RseX
rsfS	ribosomal silencing factor RsfS
rsgA	ribosome small subunit-dependent GTPase A
rsmA	16S rRNA
rsmB	16S rRNA m(5)C967 methyltransferase
rsmC	16S rRNA m(2)G1207 methyltransferase
rsmD	16S rRNA m(2)G966 methyltransferase
rsmE	16S rRNA m(3)U1498 methyltransferase
rsmF	16S rRNA m(5)C1407 methyltransferase
rsmG	16S rRNA m(7)G527 methyltransferase
rsmH	16S rRNA m(4)C1402 methyltransferase
rsmI	16S rRNA 2'-O-ribose C1402 methyltransferase
rsmJ	16S rRNA m(2)G1516 methyltransferase
rspA	mandelate racemase/muconate lactonizing enzyme
rspB	putative zinc-binding dehydrogenase RspB
rspR	DNA-binding transcriptional repressor RspR
rssA	putative patatin-like phospholipase RssA
rssB	regulator of RpoS
rstA	DNA-binding transcriptional regulator RstA
rstB	sensor histidine kinase RstB
rsuA	16S rRNA pseudouridine(516) synthase
rsxA	SoxR [2Fe-2S] reducing system protein RsxA
rsxB	SoxR [2Fe-2S] reducing system protein RsxB
rsxC	SoxR [2Fe-2S] reducing system protein RsxC
rsxD	SoxR [2Fe-2S] reducing system protein RsxD
rsxE	SoxR [2Fe-2S] reducing system protein RsxE
rsxG	SoxR [2Fe-2S] reducing system flavoprotein RsxG
rtcA	RNA 3'-terminal phosphate cyclase
rtcB	RNA-splicing ligase
rtcR	DNA-binding transcriptional activator RtcR
rttR	small RNA RttR
rusA	crossover junction endodeoxyribonuclease RusA
rutA	pyrimidine monooxygenase RutA
rutB	ureidoacrylate amidohydrolase
rutC	3-aminoacrylate deaminase
rutD	putative aminoacrylate hydrolase RutD
rutE	putative malonic semialdehyde reductase
rutF	FMN reductase RutF
rutG	pyrimidine:H(+) symporter
rutR	DNA-binding transcriptional regulator RutR
ruvA	Holliday junction branch migration complex
ruvB	Holliday junction branch migration complex
ruvC	crossover junction endodeoxyribonuclease RuvC
rybA	small RNA RybA
rybB	small regulatory RNA RybB
rydB	small regulatory RNA RydB
rydC	small regulatory RNA RydC
ryeA	small antisense RNA RyeA
ryfA	small regulatory RNA RyfA
ryfD	small regulatory RNA RyfD
ryhB	small regulatory RNA RyhB
ryjA	small RNA RyjA
ryjB	small RNA RyjB
rzoD	putative prophage lysis lipoprotein RzoD
rzoQ	putative lipoprotein RzoQ
rzoR	putative prophage outer membrane lipoprotein
rzpD	putative prophage endopeptidase RzpD
rzpQ	DUF2514 domain-containing protein RzpQ
sad	succinate semialdehyde dehydrogenase (NAD(P)(+))
safA	two-component system connector SafA
sanA	DUF218 domain-containing protein SanA
sapA	putative periplasmic binding protein SapA
sapB	putrescine ABC exporter membrane subunit SapB
sapC	putrescine ABC exporter membrane protein SapC
sapD	putrescine ABC exporter ATP binding protein
sapF	putrescine ABC exporter ATP binding protein
satP	acetate/succinate:H(+) symporter
sbcB	exodeoxyribonuclease I
sbcC	ATP-dependent structure-specific DNA nuclease -
sbcD	ATP-dependent structure-specific DNA nuclease -
sbmA	peptide antibiotic/peptide nucleic acid
sbmC	DNA gyrase inhibitor
sbp	sulfate/thiosulfate ABC transporter periplasmic
scpA	methylmalonyl-CoA mutase
scpB	methylmalonyl-CoA decarboxylase
scpC	propionyl-CoA:succinate CoA transferase
sdaA	L-serine deaminase I
sdaB	L-serine deaminase II
sdaC	L-serine:H(+) symporter
sdhA	succinate:quinone oxidoreductase, FAD binding
sdhB	succinate:quinone oxidoreductase, [Fe-S] cluster
sdhC	succinate:quinone oxidoreductase, membrane
sdhD	succinate:quinone oxidoreductase, membrane
sdhE	FAD assembly factor
sdhX	small regulatory RNA SdhX
sdiA	DNA-binding transcriptional dual regulator SdiA
sdsN	small regulatory RNA SdsN
sdsR	small regulatory RNA SdsR
secA	protein translocation ATPase
secB	protein export chaperone SecB
secD	Sec translocon accessory complex subunit SecD
secE	Sec translocon subunit SecE
secF	Sec translocon accessory complex subunit SecF
secG	Sec translocon subunit SecG
secM	SecA translation regulator
secY	Sec translocon subunit SecY
selA	selenocysteine synthase
selB	selenocysteyl-tRNA-specific translation
selC	tRNA-Sec
selD	selenide, water dikinase
selO	protein adenylyltransferase SelO
selU	tRNA 2-selenouridine synthase
seqA	negative modulator of initiation of replication
serA	phosphoglycerate dehydrogenase
serB	phosphoserine phosphatase
serC	phosphoserine/phosphohydroxythreonine
serS	serine--tRNA ligase
serT	tRNA-Ser
serU	tRNA-Ser
serV	tRNA-Ser
serW	tRNA-Ser
serX	tRNA-Ser
setA	sugar exporter SetA
setB	sugar exporter SetB
setC	putative exporter SetC
sfmA	putative fimbrial protein SfmA
sfmC	putative fimbrial chaperone SfmC
sfmD	putative fimbrial usher protein SfmD
sfmF	putative fimbrial protein SfmF
sfmH	putative fimbrial adhesin protein SfmH
sfsA	sugar fermentation stimulation protein A
sfsB	putative transcriptional regulator SfsB
sgbE	L-ribulose-5-phosphate 4-epimerase SgbE
sgbH	3-keto-L-gulonate-6-phosphate decarboxylase
sgbU	putative L-xylulose 5-phosphate 3-epimerase
sgcA	putative PTS enzyme IIA component SgcA
sgcB	putative PTS enzyme IIB component SgcB
sgcC	putative PTS enzyme IIC component SgcC
sgcE	putative epimerase SgcE
sgcQ	putative nucleoside triphosphatase
sgcR	putative DNA-binding transcriptional regulator
sgcX	putative endoglucanase with Zn-dependent
sgrR	DNA-binding transcriptional dual regulator SgrR
sgrS	small regulatory RNA SgrS
sgrT	PtsG glucose transporter inhibitor
shiA	shikimate:H(+) symporter
shoB	toxic peptide ShoB
sibA	small RNA SibA
sibB	small RNA SibB
sibC	small regulatory RNA antitoxin SibC
sibD	small RNA SibD
sibE	small RNA SibE
sieB	phage superinfection exclusion protein
sixA	phosphohistidine phosphatase SixA
skp	periplasmic chaperone Skp
slmA	nucleoid occlusion factor SlmA
slp	starvation lipoprotein
slt	soluble lytic murein transglycosylase
slyA	DNA-binding transcriptional dual regulator SlyA
slyB	outer membrane lipoprotein SlyB
slyD	FKBP-type peptidyl-prolyl cis-trans isomerase
slyX	protein SlyX
smf	protein Smf
smg	DUF494 domain-containing protein Smg
smpB	SsrA-binding protein
smrA	DNA endonuclease SmrA
smrB	ribosome rescue factor SmrB
sodA	superoxide dismutase (Mn)
sodB	superoxide dismutase (Fe)
sodC	superoxide dismutase (Cu-Zn)
sohB	S49 peptidase family protein
sokB	putative small regulatory RNA antitoxin SokB
sokC	small regulatory RNA antitoxin SokC
sokE	small RNA SokE
sokX	small RNA SokX
solA	N-methyl-L-tryptophan oxidase
soxR	DNA-binding transcriptional dual regulator SoxR
soxS	DNA-binding transcriptional dual regulator SoxS
speA	biosynthetic arginine decarboxylase
speB	agmatinase
speC	constitutive ornithine decarboxylase
speD	S-adenosylmethionine decarboxylase proenzyme
speE	spermidine synthase
speF	inducible ornithine decarboxylase
speFL	leader peptide SpeFL
speG	spermidine N-acetyltransferase
spf	small regulatory RNA Spot 42
spfP	dual-function small protein SpfP
spoT	bifunctional (p)ppGpp synthase/hydrolase SpoT
sppA	protease IV, a signal peptide peptidase
spy	ATP-independent periplasmic chaperone
sra	ribosome-associated protein Sra
sraB	small RNA SraB
sraG	small regulatory RNA SraG
srkA	stress response kinase A
srlA	sorbitol-specific PTS enzyme IIC2 component
srlB	sorbitol-specific PTS enzyme IIA component
srlD	sorbitol-6-phosphate 2-dehydrogenase
srlE	sorbitol-specific PTS enzyme IIBC1 component
srlR	DNA-binding transcriptional repressor SrlR
srmB	ATP-dependent RNA helicase SrmB
sroA	small RNA SroA
sroC	small regulatory RNA SroC
sroE	small RNA SroE
sroH	small RNA SroH
srsR	DNA-binding transcriptional activator YgfI
ssb	ssDNA-binding protein
sseA	3-mercaptopyruvate sulfurtransferase
sseB	protein SseB
