Gene	Product
cysQ	3'(2'),5'-bisphosphate nucleotidase
cysS	cysteine--tRNA ligase
cysT	tRNA-Cys
cysU	sulfate/thiosulfate ABC transporter inner
cysW	sulfate/thiosulfate ABC transporter inner
cysZ	sulfate:H(+) symporter
cytR	CytR
cyuA	L-cysteine desulfidase
cyuP	L-cysteine importer
dacA	D-alanyl-D-alanine carboxypeptidase DacA
dacB	peptidoglycan DD-endopeptidase DacB
dacC	D-alanyl-D-alanine carboxypeptidase DacC
dacD	D-alanyl-D-alanine carboxypeptidase DacD
dadA	D-amino acid dehydrogenase
dadX	alanine racemase 2
dam	DNA adenine methyltransferase
damX	cell division protein DamX
dapA	4-hydroxy-tetrahydrodipicolinate synthase
dapB	4-hydroxy-tetrahydrodipicolinate reductase
dapD	tetrahydrodipicolinate succinylase
dapE	succinyl-diaminopimelate desuccinylase
dapF	diaminopimelate epimerase
dauA	aerobic C4-dicarboxylate transporter DauA
dbpA	ATP-dependent RNA helicase DbpA
dcd	dCTP deaminase
dcm	DNA-cytosine methyltransferase
dcp	peptidyl-dipeptidase Dcp
dcrB	periplasmic bacteriophage sensitivity protein
dctA	C4 dicarboxylate/orotate:H(+) symporter
dctR	putative DNA-binding transcriptional regulator
dcuA	C4-dicarboxylate transporter DcuA
dcuB	anaerobic C4-dicarboxylate transporter DcuB
dcuC	anaerobic C4-dicarboxylate transporter DcuC
dcuD	putative transporter DcuD
dcuR	DNA-binding transcriptional activator DcuR
dcuS	sensor histidine kinase DcuS
dcyD	D-cysteine desulfhydrase
ddlA	D-alanine--D-alanine ligase A
ddlB	D-alanine--D-alanine ligase B
ddpA	putative D,D-dipeptide ABC transporter
ddpB	putative D,D-dipeptide ABC transporter membrane
ddpC	putative D,D-dipeptide ABC transporter membrane
ddpD	putative D,D-dipeptide ABC transporter
ddpF	putative D,D-dipeptide ABC transporter
ddpX	D-alanyl-D-alanine dipeptidase
deaD	ATP-dependent RNA helicase DeaD
decR	DNA-binding transcriptional activator DecR
dedA	DedA family protein DedA
dedD	cell division protein DedD
def	peptide deformylase
degP	periplasmic serine endoprotease DegP
degQ	periplasmic serine endoprotease
degS	serine endoprotease
deoA	thymidine phosphorylase
deoB	phosphopentomutase
deoC	deoxyribose-phosphate aldolase
deoD	purine nucleoside phosphorylase
deoR	DNA-binding transcriptional repressor DeoR
der	50S ribosomal subunit stability factor
dfp	fused 4'-phosphopantothenoylcysteine
dgcC	diguanylate cyclase DgcC
dgcE	diguanylate cyclase DgcE
dgcF	putative diguanylate cyclase DgcF
dgcI	putative diguanylate cyclase DgcI
dgcJ	diguanylate cyclase DgcJ
dgcM	diguanylate cyclase DgcM
