Gene	Product	Virulence?
chbC	N,N'-diacetylchitobiose-specific PTS enzyme IIC	No
chbF	monoacetylchitobiose-6-phosphate hydrolase	No
chbG	chitooligosaccharide monodeacetylase ChbG	No
chbR	DNA binding transcriptional dual regulator ChbR	No
cheA	chemotaxis protein CheA	No
cheB	protein-glutamate methylesterase/protein	No
cheR	chemotaxis protein methyltransferase	No
cheW	chemotaxis protein CheW	No
cheY	chemotaxis protein CheY	No
cheZ	chemotaxis protein CheZ	No
chiA	endochitinase	No
chiP	chitooligosaccharide outer membrane channel	No
chiQ	lipoprotein ChiQ	No
chiX	small regulatory RNA ChiX	No
chiZ	small regulatory RNA ChiZ	No
cho	excinuclease Cho	No
chpB	endoribonuclease toxin ChpB	Yes
chpS	ChpS antitoxin of the ChpB-ChpS toxin-antitoxin	Yes
cirA	Fe-catecholate outer membrane transporter CirA	No
citC	citrate lyase synthetase	No
citD	citrate lyase acyl carrier protein	No
citE	citrate lyase beta subunit	No
citF	citrate lyase alpha subunit	No
citG	triphosphoribosyl-dephospho-CoA synthase	No
citR	DNA-binding transcriptional repressor CitR	No
citT	citrate:succinate antiporter	No
citX	apo-citrate lyase phosphoribosyl-dephospho-CoA	No
clcA	chloride:H(+) antiporter ClcA	No
clcB	putative chloride:H(+) antiporter ClcB	No
clpA	ATP-dependent Clp protease ATP-binding subunit	No
clpB	ClpB80	No
clpB	chaperone protein ClpB	No
clpP	ATP-dependent Clp protease proteolytic subunit	No
clpS	specificity factor for ClpA-ClpP	No
clpX	ATP-dependent Clp protease ATP-binding subunit	No
clsA	cardiolipin synthase A	No
clsB	cardiolipin synthase B	No
clsC	cardiolipin synthase C	No
cmk	cytidylate kinase	No
cmoA	carboxy-S-adenosyl-L-methionine synthase	No
cmoB	tRNA U34 carboxymethyltransferase	No
cmoM	tRNA cmo(5)U34 methyltransferase	No
cmtA	mannitol-specific PTS enzyme IICB component	No
cmtB	mannitol-specific PTS enzyme IIA component CmtB	No
cnoX	chaperedoxin	No
